country,group,2023,2022,2021
AT,maximum,2.209,2.292,2.159
AT,minimum,1.8,1.814,1.81
BE,maximum,2.213,2.18,2.473
BE,minimum,1.515,1.345,1.337
BG,maximum,3.048,3.024,3.02
BG,minimum,2.892,3.227,3.06
CY,maximum,3.063,2.838,2.974
CY,minimum,1.667,1.32,1.182
CZ,maximum,1.421,1.462,1.447
CZ,minimum,1.361,1.361,1.285
DE,maximum,4.373,4.67,4.64
DE,minimum,5.133,5.431,5.269
DK,maximum,4.186,4.21,3.992
DK,minimum,1.72,1.842,1.658
EE,maximum,1.63,1.815,1.915
EE,minimum,1.285,1.424,1.36
EL,maximum,3.179,3.091,3.056
EL,minimum,1.978,1.923,1.913
ES,maximum,2.017,2.054,2.064
ES,minimum,3.412,3.226,2.889
FI,maximum,1.256,1.337,1.322
FI,minimum,0.839,0.834,0.732
FR,maximum,2.168,2.104,2.159
FR,minimum,0.972,0.994,0.975
HR,maximum,2.461,2.555,2.646
HR,minimum,1.536,1.637,1.584
HU,maximum,1.619,1.558,1.549
HU,minimum,1.374,1.342,1.36
IE,maximum,4.143,2.423,2.154
IE,minimum,,1.25,1.047
IT,maximum,2.237,2.239,2.246
IT,minimum,1.74,2.661,1.778
LT,maximum,1.445,1.484,1.499
LT,minimum,1.035,1.059,1.053
LU,maximum,2.21,2.348,2.509
LU,minimum,0.921,0.861,1.028
LV,maximum,1.886,1.963,2.231
LV,minimum,1.174,1.062,1.279
MT,maximum,2.47,2.715,2.668
MT,minimum,1.118,1.055,0.984
NL,maximum,1.195,1.224,1.243
NL,minimum,0.843,0.856,0.951
PL,maximum,2.066,2.327,2.31
PL,minimum,1.948,1.912,1.841
PT,maximum,1.725,1.726,1.748
PT,minimum,1.862,1.892,2.057
RO,maximum,2.247,2.341,2.505
RO,minimum,1.909,1.996,2.107
SE,maximum,1.701,1.745,0.93
SE,minimum,1.368,1.382,0.765
SI,maximum,1.547,1.568,1.564
SI,minimum,1.306,1.292,0.859
SK,maximum,1.624,1.684,1.725
SK,minimum,1.207,1.171,1.174
