country,group,2023,2022,2021
AT,maximum,94.52,91.389,89.352
AT,minimum,2.85,2.739,2.688
BE,maximum,56.647,56.208,57.221
BE,minimum,1.432,1.556,1.308
BG,maximum,23.559,22.455,22.028
BG,minimum,0.726,0.681,0.612
CY,maximum,6.901,5.861,5.592
CY,minimum,0.045,0.033,0.026
CZ,maximum,66.484,65.306,60.261
CZ,minimum,2.207,2.218,2.13
DE,maximum,470.457,481.389,464.899
DE,minimum,18.152,19.715,18.568
DK,maximum,42.063,41.447,37.392
DK,minimum,1.486,1.579,1.323
EE,maximum,11.147,10.551,9.023
EE,minimum,0.167,0.178,0.155
EL,maximum,64.578,61.077,58.237
EL,minimum,1.086,0.998,0.897
ES,maximum,278.793,277.801,260.754
ES,minimum,2.644,2.513,2.193
FI,maximum,26.116,26.282,24.242
FI,minimum,1.159,1.127,0.962
FR,maximum,330.862,312.634,297.88
FR,minimum,10.524,9.605,7.974
HR,maximum,16.519,15.215,14.522
HR,minimum,0.639,0.586,0.518
HU,maximum,50.735,55.427,52.557
HU,minimum,1.092,1.162,1.102
IE,maximum,9.446,31.362,24.097
IE,minimum,0,0.716,0.467
IT,maximum,235.153,222.709,211.291
IT,minimum,4.316,2.089,3.918
LT,maximum,25.241,24.018,21.487
LT,minimum,0.351,0.342,0.299
LU,maximum,3.414,3.362,3.231
LU,minimum,0.035,0.031,0.037
LV,maximum,11.549,11.649,11.449
LV,minimum,0.196,0.172,0.165
MT,maximum,6.796,5.936,5.59
MT,minimum,0.076,0.058,0.062
NL,maximum,175.651,174.32,170.961
NL,minimum,5.488,5.181,4.709
PL,maximum,124.262,137.075,138.831
PL,minimum,3.722,3.573,3.334
PT,maximum,74.462,70.948,64.545
PT,minimum,1.121,1.069,0.981
RO,maximum,66.993,63.496,62.554
RO,minimum,1.726,1.701,1.635
SE,maximum,105.923,104.674,62.99
SE,minimum,6.6,6.401,3.934
SI,maximum,14.899,14.41,13.572
SI,minimum,0.333,0.323,0.195
SK,maximum,28.259,27.201,25.68
SK,minimum,0.303,0.295,0.284
