country,row,2023,2022,2021
AT,"CP09111 Equipment for the reception, recording and reproduction of sound",101.36,96.01,104.14
AT,CP09113 Portable sound and vision devices,,,
AT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
AT,CP09141 Pre-recorded recording media,98.47,91.14,89.38
AT,"CP0915 Repair of audio-visual, photographic and information processing equipment",115.79,112.59,110.59
AT,CP09221 Musical instruments,118.05,110.91,107.01
AT,"CP09421 Cinemas, theatres, concerts",124.54,117.12,110.87
AT,"CP09423 Television and radio licence fees, subscriptions",122.04,118.86,114.98
BE,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
BE,CP09113 Portable sound and vision devices,,,
BE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",95.48,96.1,97.6
BE,CP09141 Pre-recorded recording media,92.04,97.99,95.38
BE,"CP0915 Repair of audio-visual, photographic and information processing equipment",117.99,110.07,106.86
BE,CP09221 Musical instruments,121.92,115.85,112.04
BE,"CP09421 Cinemas, theatres, concerts",124.46,115.99,110.07
BE,"CP09423 Television and radio licence fees, subscriptions",98.09,95.36,92.74
BG,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
BG,CP09113 Portable sound and vision devices,,,
BG,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",92.89,93.21,93.58
BG,CP09141 Pre-recorded recording media,,,
BG,"CP0915 Repair of audio-visual, photographic and information processing equipment",135.01,123.14,108.62
BG,CP09221 Musical instruments,124.07,120.74,114.05
BG,"CP09421 Cinemas, theatres, concerts",156.59,136.75,126.66
BG,"CP09423 Television and radio licence fees, subscriptions",107.37,99.84,95
CY,"CP09111 Equipment for the reception, recording and reproduction of sound",100.36,102.94,101.5
CY,CP09113 Portable sound and vision devices,,,
CY,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
CY,CP09141 Pre-recorded recording media,,,
CY,"CP0915 Repair of audio-visual, photographic and information processing equipment",103.97,98.4,98.15
CY,CP09221 Musical instruments,113.89,107.71,101.16
CY,"CP09421 Cinemas, theatres, concerts",109.76,108.05,106.12
CY,"CP09423 Television and radio licence fees, subscriptions",128.86,125.12,123.4
CZ,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
CZ,CP09113 Portable sound and vision devices,117.7,110.1,101
CZ,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
CZ,CP09141 Pre-recorded recording media,109.9,105.2,94.3
CZ,"CP0915 Repair of audio-visual, photographic and information processing equipment",154.6,142.1,124.8
CZ,CP09221 Musical instruments,115.2,111.8,106.7
CZ,"CP09421 Cinemas, theatres, concerts",210.2,176.7,150.5
CZ,"CP09423 Television and radio licence fees, subscriptions",103.2,101.9,101.3
DE,"CP09111 Equipment for the reception, recording and reproduction of sound",104.4,100.2,96.3
DE,CP09113 Portable sound and vision devices,100.9,96.1,95.8
DE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",107.2,102.5,101.3
DE,CP09141 Pre-recorded recording media,118.5,113.2,108.9
DE,"CP0915 Repair of audio-visual, photographic and information processing equipment",125.3,117.7,112.2
DE,CP09221 Musical instruments,118.6,110.6,104.3
DE,"CP09421 Cinemas, theatres, concerts",117.7,112.8,108.6
DE,"CP09423 Television and radio licence fees, subscriptions",107.8,104.4,103.8
DK,"CP09111 Equipment for the reception, recording and reproduction of sound",89.2,90,92.7
DK,CP09113 Portable sound and vision devices,122.9,118.7,106.2
DK,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",81.9,77.4,76.6
DK,CP09141 Pre-recorded recording media,98.8,94.9,94.9
DK,"CP0915 Repair of audio-visual, photographic and information processing equipment",91.6,90.3,93.1
DK,CP09221 Musical instruments,101,100.2,99
DK,"CP09421 Cinemas, theatres, concerts",126.9,122.1,111.2
DK,"CP09423 Television and radio licence fees, subscriptions",132,125.7,122.7
EE,"CP09111 Equipment for the reception, recording and reproduction of sound",130.55,122.35,116.47
EE,CP09113 Portable sound and vision devices,,,
EE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
EE,CP09141 Pre-recorded recording media,95.25,82.6,97.46
EE,"CP0915 Repair of audio-visual, photographic and information processing equipment",164.51,135.26,123.45
EE,CP09221 Musical instruments,,,
EE,"CP09421 Cinemas, theatres, concerts",161.1,140.37,127.28
EE,"CP09423 Television and radio licence fees, subscriptions",175.74,157.98,139.7
EL,"CP09111 Equipment for the reception, recording and reproduction of sound",93.73,91.34,91.16
EL,CP09113 Portable sound and vision devices,93.25,91.76,90.42
EL,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
EL,CP09141 Pre-recorded recording media,95.79,96.19,95.64
EL,"CP0915 Repair of audio-visual, photographic and information processing equipment",94.87,94.58,94.05
EL,CP09221 Musical instruments,91.43,98.44,93.18
EL,"CP09421 Cinemas, theatres, concerts",122.43,110.67,99.45
EL,"CP09423 Television and radio licence fees, subscriptions",103.3,103.3,107.52
ES,"CP09111 Equipment for the reception, recording and reproduction of sound",,,95.2
ES,CP09113 Portable sound and vision devices,,,100.09
ES,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",104.69,98.27,97.02
ES,CP09141 Pre-recorded recording media,96.93,93.32,92.42
ES,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
ES,CP09221 Musical instruments,,,
ES,"CP09421 Cinemas, theatres, concerts",103.66,100.76,97.62
ES,"CP09423 Television and radio licence fees, subscriptions",114.23,106.9,104.18
FI,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
FI,CP09113 Portable sound and vision devices,,,
FI,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",76.78,76.54,77.98
FI,CP09141 Pre-recorded recording media,62.85,63.17,64.38
FI,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
FI,CP09221 Musical instruments,106.97,104.78,98.15
FI,"CP09421 Cinemas, theatres, concerts",123.27,118.59,115.99
FI,"CP09423 Television and radio licence fees, subscriptions",119.99,115.68,113.85
FR,"CP09111 Equipment for the reception, recording and reproduction of sound",85.25,87.46,88.65
FR,CP09113 Portable sound and vision devices,,,
FR,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",80.05,81.73,84.55
FR,CP09141 Pre-recorded recording media,89.63,90.15,88.82
FR,"CP0915 Repair of audio-visual, photographic and information processing equipment",112.54,110.73,108.21
FR,CP09221 Musical instruments,110.49,107.9,103
FR,"CP09421 Cinemas, theatres, concerts",113.19,109.1,109.93
FR,"CP09423 Television and radio licence fees, subscriptions",120.79,115.04,116.06
HR,"CP09111 Equipment for the reception, recording and reproduction of sound",115.54,113.97,104.92
HR,CP09113 Portable sound and vision devices,113.53,115.51,99.98
HR,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",94.14,93.03,89.81
HR,CP09141 Pre-recorded recording media,88.88,90.78,90.99
HR,"CP0915 Repair of audio-visual, photographic and information processing equipment",108.92,94.46,89.93
HR,CP09221 Musical instruments,118.56,116.4,109.74
HR,"CP09421 Cinemas, theatres, concerts",134.66,123.31,114.19
HR,"CP09423 Television and radio licence fees, subscriptions",97.43,100.99,100
HU,"CP09111 Equipment for the reception, recording and reproduction of sound",112.18,107.73,100.25
HU,CP09113 Portable sound and vision devices,,,
HU,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,89.31,83.81
HU,CP09141 Pre-recorded recording media,,,
HU,"CP0915 Repair of audio-visual, photographic and information processing equipment",178.87,155.27,135.57
HU,CP09221 Musical instruments,165.73,144.02,124.71
HU,"CP09421 Cinemas, theatres, concerts",149.17,130.53,120.95
HU,"CP09423 Television and radio licence fees, subscriptions",121.19,108.82,107.18
IE,"CP09111 Equipment for the reception, recording and reproduction of sound",89.3,88.1,84.2
