country,row,2023,2022,2021
AT,"CP09111 Equipment for the reception, recording and reproduction of sound",5.6,-7.8,-4.3
AT,CP09113 Portable sound and vision devices,,,
AT,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
AT,CP09141 Pre-recorded recording media,8.1,2,-16.8
AT,"CP0915 Repair of audio-visual, photographic and information processing equipment",2.8,1.8,0.6
AT,CP09221 Musical instruments,6.4,3.6,2.2
AT,"CP09421 Cinemas, theatres, concerts",6.3,5.6,0.2
AT,"CP09423 Television and radio licence fees, subscriptions",2.7,3.4,2.3
BE,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
BE,CP09113 Portable sound and vision devices,,,
BE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",-0.6,-1.5,-1.1
BE,CP09141 Pre-recorded recording media,-6.1,2.7,-1.3
BE,"CP0915 Repair of audio-visual, photographic and information processing equipment",7.2,3,1
BE,CP09221 Musical instruments,5.2,3.4,1.7
BE,"CP09421 Cinemas, theatres, concerts",7.3,5.4,0.9
BE,"CP09423 Television and radio licence fees, subscriptions",2.9,2.8,3.4
BG,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
BG,CP09113 Portable sound and vision devices,,,
BG,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",-0.3,-0.4,-0.3
BG,CP09141 Pre-recorded recording media,,,
BG,"CP0915 Repair of audio-visual, photographic and information processing equipment",9.6,13.4,4.4
BG,CP09221 Musical instruments,2.8,5.9,2.9
BG,"CP09421 Cinemas, theatres, concerts",14.5,8,4.6
BG,"CP09423 Television and radio licence fees, subscriptions",7.5,5.1,-3
CY,"CP09111 Equipment for the reception, recording and reproduction of sound",-2.5,1.4,5.1
CY,CP09113 Portable sound and vision devices,,,
CY,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
CY,CP09141 Pre-recorded recording media,,,
CY,"CP0915 Repair of audio-visual, photographic and information processing equipment",5.7,0.3,-0.4
CY,CP09221 Musical instruments,5.7,6.5,-1.3
CY,"CP09421 Cinemas, theatres, concerts",1.6,1.8,0.9
CY,"CP09423 Television and radio licence fees, subscriptions",3,1.4,5.8
CZ,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
CZ,CP09113 Portable sound and vision devices,6.9,9,4.1
CZ,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
CZ,CP09141 Pre-recorded recording media,4.4,11.6,4.3
CZ,"CP0915 Repair of audio-visual, photographic and information processing equipment",8.9,13.9,4.5
CZ,CP09221 Musical instruments,3.1,4.8,1.3
CZ,"CP09421 Cinemas, theatres, concerts",18.9,17.5,7
CZ,"CP09423 Television and radio licence fees, subscriptions",1.3,0.6,0.1
DE,"CP09111 Equipment for the reception, recording and reproduction of sound",4.2,4,3.6
DE,CP09113 Portable sound and vision devices,5,0.3,-5.6
DE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",4.7,1.1,-1.2
DE,CP09141 Pre-recorded recording media,4.7,3.9,-4.5
DE,"CP0915 Repair of audio-visual, photographic and information processing equipment",6.5,4.9,2.4
DE,CP09221 Musical instruments,7.3,6,1.1
DE,"CP09421 Cinemas, theatres, concerts",4.4,3.9,0.2
DE,"CP09423 Television and radio licence fees, subscriptions",3.3,0.5,2.6
DK,"CP09111 Equipment for the reception, recording and reproduction of sound",-0.9,-2.9,-1.4
DK,CP09113 Portable sound and vision devices,3.5,11.8,5.7
DK,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",5.9,1,-3.9
DK,CP09141 Pre-recorded recording media,4.1,0,-2.9
DK,"CP0915 Repair of audio-visual, photographic and information processing equipment",1.4,-3,0.3
DK,CP09221 Musical instruments,0.7,1.2,-2.3
DK,"CP09421 Cinemas, theatres, concerts",3.9,9.7,-0.7
DK,"CP09423 Television and radio licence fees, subscriptions",5,2.5,6.4
EE,"CP09111 Equipment for the reception, recording and reproduction of sound",6.7,5.1,3.8
EE,CP09113 Portable sound and vision devices,,,
EE,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
EE,CP09141 Pre-recorded recording media,15.3,-15.2,1.6
EE,"CP0915 Repair of audio-visual, photographic and information processing equipment",21.6,9.6,1.3
EE,CP09221 Musical instruments,,,
EE,"CP09421 Cinemas, theatres, concerts",14.8,10.3,2.6
EE,"CP09423 Television and radio licence fees, subscriptions",11.2,13.1,9.9
EL,"CP09111 Equipment for the reception, recording and reproduction of sound",2.6,0.2,-1.8
EL,CP09113 Portable sound and vision devices,1.6,1.5,1.4
EL,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,,
EL,CP09141 Pre-recorded recording media,-0.4,0.6,-2.8
EL,"CP0915 Repair of audio-visual, photographic and information processing equipment",0.3,0.6,0
EL,CP09221 Musical instruments,-7.1,5.6,1.8
EL,"CP09421 Cinemas, theatres, concerts",10.6,11.3,-0.6
EL,"CP09423 Television and radio licence fees, subscriptions",0,-3.9,-0.8
ES,"CP09111 Equipment for the reception, recording and reproduction of sound",,,3.2
ES,CP09113 Portable sound and vision devices,,,-1.1
ES,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",6.5,1.3,0
ES,CP09141 Pre-recorded recording media,3.9,1,-1.9
ES,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
ES,CP09221 Musical instruments,,,
ES,"CP09421 Cinemas, theatres, concerts",2.9,3.2,1.2
ES,"CP09423 Television and radio licence fees, subscriptions",6.9,2.6,0.2
FI,"CP09111 Equipment for the reception, recording and reproduction of sound",,,
FI,CP09113 Portable sound and vision devices,,,
FI,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",0.3,-1.9,-5.8
FI,CP09141 Pre-recorded recording media,-0.5,-1.9,-7.8
FI,"CP0915 Repair of audio-visual, photographic and information processing equipment",,,
FI,CP09221 Musical instruments,2.1,6.8,1
FI,"CP09421 Cinemas, theatres, concerts",3.9,2.2,1.2
FI,"CP09423 Television and radio licence fees, subscriptions",3.7,1.6,6.2
FR,"CP09111 Equipment for the reception, recording and reproduction of sound",-2.5,-1.3,2.1
FR,CP09113 Portable sound and vision devices,,,
FR,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",-2.1,-3.3,-5.8
FR,CP09141 Pre-recorded recording media,-0.6,1.5,3.1
FR,"CP0915 Repair of audio-visual, photographic and information processing equipment",1.6,2.3,0
FR,CP09221 Musical instruments,2.4,4.8,-0.2
FR,"CP09421 Cinemas, theatres, concerts",3.7,-0.8,-1.2
FR,"CP09423 Television and radio licence fees, subscriptions",5,-0.9,4.9
HR,"CP09111 Equipment for the reception, recording and reproduction of sound",1.4,8.6,-2.8
HR,CP09113 Portable sound and vision devices,-1.7,15.5,0
HR,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",1.2,3.6,-0.6
HR,CP09141 Pre-recorded recording media,-2.1,-0.2,-5.5
HR,"CP0915 Repair of audio-visual, photographic and information processing equipment",15.3,5,0.5
HR,CP09221 Musical instruments,1.9,6.1,3.3
HR,"CP09421 Cinemas, theatres, concerts",9.2,8,4.5
HR,"CP09423 Television and radio licence fees, subscriptions",-3.5,1,0
HU,"CP09111 Equipment for the reception, recording and reproduction of sound",4.1,7.5,-1.5
HU,CP09113 Portable sound and vision devices,,,
HU,"CP09119 Other equipment for the reception, recording and reproduction of sound and picture",,6.6,-1.7
HU,CP09141 Pre-recorded recording media,,,
HU,"CP0915 Repair of audio-visual, photographic and information processing equipment",15.2,14.5,5.2
HU,CP09221 Musical instruments,15.1,15.5,6.1
