country,2023,2022,2021
AT,50059,47143,49297
BE,61635,61682,57802
BG,12889,12389,12024
CY,,,4311
CZ,71191,70082,67672
DE,177101,175480,168864
DK,18190,18215,18040
EE,10957,9658,8300
EL,44365,43308,41346
ES,192461,190762,182670
FI,32806,31481,29612
FR,,355309,
HR,14073,12934,12070
HU,58208,65506,62131
IE,25184,25862,
IT,263567,,
LT,31152,29246,26622
LU,2828,2623,2369
LV,9439,9158,7605
MT,4876,3892,3655
NL,253484,243059,229862
PL,117398,115735,117754
PT,73439,69710,63368
RO,49863,46779,44313
SE,93595,90497,102770
SI,17983,17426,16673
SK,20364,19633,18216
