country,group,2023,2022,2021
AT,music sector maximum,42796,39873,41379
AT,music sector minimum,1583,1510,1485
BE,music sector maximum,25595,25780,23137
BE,music sector minimum,945,1157,978
BG,music sector maximum,7730,7425,7295
BG,music sector minimum,251,211,200
CY,music sector maximum,2253,2065,1880
CY,music sector minimum,27,25,22
CZ,music sector maximum,46772,44674,41654
CZ,music sector minimum,1622,1630,1658
DE,music sector maximum,107593,103081,100203
DE,music sector minimum,3536,3630,3524
DK,music sector maximum,10049,9844,9366
DK,music sector minimum,864,857,798
EE,music sector maximum,6838,5813,4712
EE,music sector minimum,130,125,114
EL,music sector maximum,20312,19757,19057
EL,music sector minimum,549,519,469
ES,music sector maximum,138208,135224,126310
ES,music sector minimum,775,779,759
FI,music sector maximum,20801,19663,18335
FI,music sector minimum,1381,1352,1315
FR,music sector maximum,152601,148620,137960
FR,music sector minimum,10832,9663,8178
HR,music sector maximum,6712,5954,5489
HR,music sector minimum,416,358,327
HU,music sector maximum,31337,35580,33930
HU,music sector minimum,795,866,810
IE,music sector maximum,2280,12941,11186
IE,music sector minimum,0,573,446
IT,music sector maximum,105132,99484,94071
IT,music sector minimum,2481,785,2203
LT,music sector maximum,17470,16181,14334
LT,music sector minimum,339,323,284
LU,music sector maximum,1545,1432,1288
LU,music sector minimum,38,36,36
LV,music sector maximum,6124,5933,5132
LV,music sector minimum,167,162,129
MT,music sector maximum,2751,2186,2095
MT,music sector minimum,68,55,63
NL,music sector maximum,146953,142374,137506
NL,music sector minimum,6508,6051,4951
PL,music sector maximum,60138,58913,60104
PL,music sector minimum,1911,1869,1811
PT,music sector maximum,43176,41112,36931
PT,music sector minimum,602,565,477
RO,music sector maximum,29813,27121,24975
RO,music sector minimum,904,852,776
SE,music sector maximum,62285,59970,67724
SE,music sector minimum,4824,4633,5145
SI,music sector maximum,9633,9188,8678
SI,music sector minimum,255,250,227
SK,music sector maximum,17397,16153,14885
SK,music sector minimum,251,252,242
