country,2023,2022,2021
AT,13304.37,12746.79,11415.94
BE,20352.47,18059.54,15350.19
BG,2167.03,1960.71,1649.21
CY,,,2900.9
CZ,9082.33,8708.65,6984.39
DE,119974.95,113501.17,102989.87
DK,12183.63,13657.19,
EE,1189.61,1123.31,
EL,4941.67,4463.59,3694.22
ES,41751.16,40717.58,33970.35
FI,8994.3,9212.84,8607.99
FR,102597.43,96421.17,87651.19
HR,2316.38,2076.13,1722.53
HU,5751.17,5581.64,5305.77
IE,11628.52,14316.24,
IT,,,
LT,1789.01,1599.04,1330.67
LU,2073.66,2053.85,1938.72
LV,986.05,977.77,811.03
MT,861.33,734.09,652.19
NL,,34368.87,30261.98
PL,20978.17,19154.69,17459.93
PT,7613.84,7067.34,5839.64
RO,5185.33,4684.63,3806.06
SE,19517.99,21266.38,19830.96
SI,2082.96,2082.7,1744.06
SK,2456.33,2271.41,1982.12
