country,group,2023,2022,2021
AT,music sector maximum,12002.79,11386.38,10180.13
AT,music sector minimum,270.08,248.21,214.14
BE,music sector maximum,14468.05,13293.68,10735.85
BE,music sector minimum,174.41,186.37,162.06
BG,music sector maximum,2184.39,1826.86,1527.13
BG,music sector minimum,47.88,39.96,28.05
CY,music sector maximum,1451.68,1342.91,1231.04
CY,music sector minimum,0.66,0.51,0.56
CZ,music sector maximum,9301.84,8637.69,7271.71
CZ,music sector minimum,202.43,198.09,159.14
DE,music sector maximum,81772.13,79942.05,72600.91
DE,music sector minimum,4997.33,5184.15,4126.04
DK,music sector maximum,8348.55,9607.9,7155.69
DK,music sector minimum,230.9,251.79,179.99
EE,music sector maximum,1269.48,1395.07,1000.16
EE,music sector minimum,7.49,10.5,7.17
EL,music sector maximum,5300.12,4786.24,4052.53
EL,music sector minimum,42.59,33.02,26.38
ES,music sector maximum,41941.12,39495.17,34247.86
ES,music sector minimum,547.46,493.58,430.99
FI,music sector maximum,4816.02,4758.68,4413.1
FI,music sector minimum,195.63,183.13,144.58
FR,music sector maximum,80132.57,76846.02,68532.93
FR,music sector minimum,2035.29,1706.91,1149.5
HR,music sector maximum,1745.22,1514.71,1255.9
HR,music sector minimum,42.53,44.51,28.38
HU,music sector maximum,4265.21,3964.6,3792.55
HU,music sector minimum,68.32,60.07,53.12
IE,music sector maximum,3962.14,4049.53,720.13
IE,music sector minimum,163.63,198.27,94.54
IT,music sector maximum,38806.67,35201.3,33431.17
IT,music sector minimum,692.81,181.44,579.83
LT,music sector maximum,1799.68,1607.07,1302.75
LT,music sector minimum,11.62,9.04,7.32
LU,music sector maximum,766.41,743.58,688.69
LU,music sector minimum,3.22,3.03,4.04
LV,music sector maximum,1241.51,1082.05,1089.45
LV,music sector minimum,0,5.74,3.64
MT,music sector maximum,1380.75,1427.52,1252.27
MT,music sector minimum,5.66,0,4.47
NL,music sector maximum,23999.67,23658.75,19547.4
NL,music sector minimum,1241.6,1164.68,829.77
PL,music sector maximum,15433.68,16289.73,15281.47
PL,music sector minimum,317.08,313.8,217.83
PT,music sector maximum,6520.92,5969.91,4959.99
PT,music sector minimum,94.59,84.23,61.78
RO,music sector maximum,5549.62,5243.46,4723.23
RO,music sector minimum,97.69,88.37,70.09
SE,music sector maximum,11870.82,12927.24,10840.7
SE,music sector minimum,937.74,989.73,47.08
SI,music sector maximum,1562.57,1471.71,1552.23
SI,music sector minimum,13.4,11.45,8.36
SK,music sector maximum,3320.52,3032.81,2690.72
SK,music sector minimum,21.48,11.71,10.39
