country,2023,2022,2021
AT,48.787,47.287,44.28
BE,57.576,53.207,52.316
BG,20.786,18.335,16.691
CY,,,85.739
CZ,29.991,27.549,24.497
DE,60.482,57.9,54.305
DK,Inf,66.689,
EE,21.823,20.776,
EL,15.977,14.293,12.077
ES,42.843,40.969,35.871
FI,71.839,74.422,76.016
FR,67.478,64.265,68.569
HR,25.354,22.632,20.64
HU,17.85,13.729,14.789
IE,77.291,105.524,
IT,0,,
LT,16.323,14.892,13.844
LU,85.255,80.573,82.827
LV,20.172,19.384,17.588
MT,36.018,35.214,31.724
NL,0,58.563,49.187
PL,28.328,25.386,22.309
PT,23.884,22.551,21.381
RO,0,0,17.912
SE,41.723,52.587,77.766
SI,31.057,30.98,27.984
SK,21.114,19.625,18.62
