country,group,2023,2022,2021
AT,music sector maximum,40.161,38.815,36.336
AT,music sector minimum,41.33,33.355,30.093
BE,music sector maximum,53.729,50.272,48.918
BE,music sector minimum,47.228,46.6,27.982
BG,music sector maximum,23.896,21.99,19.15
BG,music sector minimum,25.055,20.881,15.801
CY,music sector maximum,54.462,56.825,56.5
CY,music sector minimum,7.111,8.182,13.077
CZ,music sector maximum,31.335,27.801,26.612
CZ,music sector minimum,27.435,27.124,23.484
DE,music sector maximum,57.797,60.72,60.467
DE,music sector minimum,147.614,136.55,122.48
DK,music sector maximum,64.309,68.694,61.667
DK,music sector minimum,63.97,66.371,48.98
EE,music sector maximum,26.576,29.067,27.808
EE,music sector minimum,16.886,24.607,20.194
EL,music sector maximum,26.043,21.175,18.73
EL,music sector minimum,13.803,11.593,10.145
ES,music sector maximum,41.699,38.335,35.304
ES,music sector minimum,61.52,55.973,59.375
FI,music sector maximum,50.384,48.894,54.106
FI,music sector minimum,44.711,45.918,46.902
FR,music sector maximum,66.159,67.175,71.834
FR,music sector minimum,77.366,70.987,64.19
HR,music sector maximum,32.822,27.844,24.845
HR,music sector minimum,15.133,15.154,13.61
HU,music sector maximum,22.072,17.978,18.275
HU,music sector minimum,20,14.785,15.59
IE,music sector maximum,97.622,25.816,13.699
IE,music sector minimum,Inf,86.578,86.874
IT,music sector maximum,43.837,42.29,42.287
IT,music sector minimum,66.087,37.267,60.554
LT,music sector maximum,23.247,22.319,20.482
LT,music sector minimum,10.399,7.778,6.388
LU,music sector maximum,59.244,59.914,59.161
LU,music sector minimum,51.714,52.581,47.027
LV,music sector maximum,25.897,21.813,21.61
LV,music sector minimum,0,13.314,12.97
MT,music sector maximum,85.617,90.103,86.773
MT,music sector minimum,0,0,56.29
NL,music sector maximum,52.539,50.165,44.273
NL,music sector minimum,72.64,74.621,64.666
PL,music sector maximum,27.224,29.436,29.192
PL,music sector minimum,22.069,22.69,16.275
PT,music sector maximum,25.878,24.532,22.572
PT,music sector minimum,37.627,32.554,25.127
RO,music sector maximum,22.859,26.127,22.94
RO,music sector minimum,23.447,28.007,15.339
SE,music sector maximum,36.023,39.986,58.847
SE,music sector minimum,52.511,63.087,5.343
SI,music sector maximum,30.495,31.861,29.791
SI,music sector minimum,15.886,16.099,20.872
SK,music sector maximum,25.115,22.506,20.651
SK,music sector minimum,18.515,11.424,9.542
