country,2023,2022,2021
AT,5455.45,5122.55,4777.29
BE,6289.1,5755.19,5371.43
BG,831.76,708.25,632.37
CY,,,796.77
CZ,2825.84,2565.08,2215.27
DE,51514.79,52454.7,48554.41
DK,4833.17,4996.88,
EE,414.62,371.72,
EL,1684.15,1541.67,1238.07
ES,16806.25,16078.46,13864.28
FI,3547.28,3747.76,3647.31
FR,37673.25,34621.58,34185.07
HR,851.53,731.43,646.78
HU,1631.79,1401.92,1442.84
IE,4725.19,6624.77,
IT,,,
LT,642.93,560.76,486.74
LU,614.43,565.62,549.14
LV,388.28,371.36,335.36
MT,381.32,322.63,281.96
NL,,14922.93,12529.03
PL,6930.95,6295.68,5558.22
PT,2949.78,2673,2334.02
RO,,,1706.63
SE,7073.57,8729.3,8639.37
SI,846.51,822.52,717.04
SK,665.21,605.55,550.19
