country,group,2023,2022,2021
AT,music sector maximum,3796.02,3547.28,3246.73
AT,music sector minimum,117.79,91.36,80.89
BE,music sector maximum,3043.56,2825.68,2799.15
BE,music sector minimum,67.63,72.51,36.6
BG,music sector maximum,562.97,493.78,421.84
BG,music sector minimum,18.19,14.22,9.67
CY,music sector maximum,375.84,333.05,315.95
CY,music sector minimum,0.32,0.27,0.34
CZ,music sector maximum,2083.26,1815.58,1603.66
CZ,music sector minimum,60.55,60.16,50.02
DE,music sector maximum,27191.02,29229.73,28110.85
DE,music sector minimum,2679.49,2692.08,2274.2
DK,music sector maximum,2705.02,2847.16,2305.87
DK,music sector minimum,95.06,104.8,64.8
EE,music sector maximum,296.24,306.69,250.91
EE,music sector minimum,2.82,4.38,3.13
EL,music sector maximum,1681.78,1293.31,1090.75
EL,music sector minimum,14.99,11.57,9.1
ES,music sector maximum,11625.35,10649.55,9205.56
ES,music sector minimum,162.66,140.66,130.21
FI,music sector maximum,1315.84,1285.02,1311.64
FI,music sector minimum,51.82,51.75,45.12
FR,music sector maximum,21889.52,21001.15,21398.01
FR,music sector minimum,814.2,681.83,511.85
HR,music sector maximum,542.18,423.65,360.8
HR,music sector minimum,9.67,8.88,7.05
HU,music sector maximum,1119.8,996.47,960.46
HU,music sector minimum,21.84,17.18,17.18
IE,music sector maximum,922.14,809.65,330.11
IE,music sector minimum,53.85,61.99,40.57
IT,music sector maximum,10308.36,9418.31,8934.8
IT,music sector minimum,285.23,77.85,237.25
LT,music sector maximum,586.79,536.05,440.1
LT,music sector minimum,3.65,2.66,1.91
LU,music sector maximum,202.26,201.43,191.15
LU,music sector minimum,1.81,1.63,1.74
LV,music sector maximum,299.09,254.1,247.41
LV,music sector minimum,0,2.29,2.14
MT,music sector maximum,581.85,534.85,485.06
MT,music sector minimum,0,0,3.49
NL,music sector maximum,9228.59,8744.71,7568.94
NL,music sector minimum,398.65,386.61,304.51
PL,music sector maximum,3382.85,4034.94,4052.7
PL,music sector minimum,82.14,81.07,54.26
PT,music sector maximum,1926.95,1740.51,1456.9
PT,music sector minimum,42.18,34.8,24.65
RO,music sector maximum,1531.36,1658.97,1434.99
RO,music sector minimum,40.47,47.64,25.08
SE,music sector maximum,3815.69,4185.53,3706.75
SE,music sector minimum,346.57,403.82,21.02
SI,music sector maximum,454.35,459.12,404.33
SI,music sector minimum,5.29,5.2,4.07
SK,music sector maximum,709.73,612.19,530.33
SK,music sector minimum,5.61,3.37,2.71
