country,row,2023,2022,2021
AT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",108574,128893,107544
AT,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),27335,25569,22341
AT,Total (TOTAL) (thousand euro),3073100,776187,689347
BE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",22242,24105,32883
BE,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),107949,109019,124840
BE,Total (TOTAL) (thousand euro),1560230,1440285,1221354
BG,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",3907,8867,11726
BG,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),3894,3850,3135
BG,Total (TOTAL) (thousand euro),100336,116046,100596
CY,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",239,279,817
CY,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),1266,1230,877
CY,Total (TOTAL) (thousand euro),30412,32804,22126
CZ,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",213868,196117,199786
CZ,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),38130,50175,43128
CZ,Total (TOTAL) (thousand euro),544319,637758,474394
DE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",553895,603007,657143
DE,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),835995,912871,798422
DE,Total (TOTAL) (thousand euro),7342072,8204361,7607169
DK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",32217,31404,24485
DK,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),19198,23470,24149
DK,Total (TOTAL) (thousand euro),519712,520930,443259
EE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",10596,6421,4331
EE,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),3606,3143,2991
EE,Total (TOTAL) (thousand euro),58658,49829,40716
EL,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",10971,11739,9413
EL,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),6727,7660,6518
EL,Total (TOTAL) (thousand euro),264855,270819,158101
ES,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",31809,28056,23701
ES,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),64113,78023,70550
ES,Total (TOTAL) (thousand euro),1890670,1979300,1770413
FI,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",22335,18397,19032
FI,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),11745,14255,12743
FI,Total (TOTAL) (thousand euro),98665,104263,107038
FR,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",220416,233273,271081
