country,row,2023,2022,2021
AT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",3.53,16.61,15.6
AT,Musical instruments; parts and accessories thereof (MUSI) (% of total),0.89,3.29,3.24
AT,Total (TOTAL) (% of total),100,100,100
BE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",1.43,1.67,2.69
BE,Musical instruments; parts and accessories thereof (MUSI) (% of total),6.92,7.57,10.22
BE,Total (TOTAL) (% of total),100,100,100
BG,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",3.89,7.64,11.66
BG,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.88,3.32,3.12
BG,Total (TOTAL) (% of total),100,100,100
CY,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",0.79,0.85,3.69
CY,Musical instruments; parts and accessories thereof (MUSI) (% of total),4.16,3.75,3.96
CY,Total (TOTAL) (% of total),100,100,100
CZ,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",39.29,30.75,42.11
CZ,Musical instruments; parts and accessories thereof (MUSI) (% of total),7.01,7.87,9.09
CZ,Total (TOTAL) (% of total),100,100,100
DE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",7.54,7.35,8.64
DE,Musical instruments; parts and accessories thereof (MUSI) (% of total),11.39,11.13,10.5
DE,Total (TOTAL) (% of total),100,100,100
DK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",6.2,6.03,5.52
DK,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.69,4.51,5.45
DK,Total (TOTAL) (% of total),100,100,100
EE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",18.06,12.89,10.64
EE,Musical instruments; parts and accessories thereof (MUSI) (% of total),6.15,6.31,7.35
EE,Total (TOTAL) (% of total),100,100,100
EL,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",4.14,4.33,5.95
EL,Musical instruments; parts and accessories thereof (MUSI) (% of total),2.54,2.83,4.12
EL,Total (TOTAL) (% of total),100,100,100
ES,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",1.68,1.42,1.34
ES,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.39,3.94,3.98
ES,Total (TOTAL) (% of total),100,100,100
FI,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",22.64,17.64,17.78
FI,Musical instruments; parts and accessories thereof (MUSI) (% of total),11.9,13.67,11.91
FI,Total (TOTAL) (% of total),100,100,100
FR,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",1.8,2.02,2.85
FR,Musical instruments; parts and accessories thereof (MUSI) (% of total),2.68,2.88,3.05
FR,Total (TOTAL) (% of total),100,100,100
HR,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",11.7,8.27,8.02
HR,Musical instruments; parts and accessories thereof (MUSI) (% of total),14.85,12.74,10.55
HR,Total (TOTAL) (% of total),100,100,100
HU,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",8.85,10.58,9.4
HU,Musical instruments; parts and accessories thereof (MUSI) (% of total),5.09,4.4,4.56
HU,Total (TOTAL) (% of total),100,100,100
IE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",12.91,15.58,14.7
IE,Musical instruments; parts and accessories thereof (MUSI) (% of total),0.86,0.87,0.87
IE,Total (TOTAL) (% of total),100,100,100
IT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",0.72,0.61,0.68
IT,Musical instruments; parts and accessories thereof (MUSI) (% of total),1.3,1.52,1.54
IT,Total (TOTAL) (% of total),100,100,100
LT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",8.98,4.92,3.91
LT,Musical instruments; parts and accessories thereof (MUSI) (% of total),8.85,8.06,9.12
LT,Total (TOTAL) (% of total),100,100,100
LU,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",12.56,10.99,8.77
LU,Musical instruments; parts and accessories thereof (MUSI) (% of total),0.27,0.51,0.69
LU,Total (TOTAL) (% of total),100,100,100
LV,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",3.7,2.63,1.37
LV,Musical instruments; parts and accessories thereof (MUSI) (% of total),7.57,6.41,5.33
LV,Total (TOTAL) (% of total),100,100,100
MT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",4.85,1.93,2.62
MT,Musical instruments; parts and accessories thereof (MUSI) (% of total),1.67,1.19,1.3
MT,Total (TOTAL) (% of total),100,100,100
NL,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",3.11,5.02,4.71
NL,Musical instruments; parts and accessories thereof (MUSI) (% of total),4.45,6.43,7.87
NL,Total (TOTAL) (% of total),100,100,100
