country,row,2023,2022,2021
AT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",728560,650024,726847
AT,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),112515,89938,137477
AT,Total (TOTAL) (thousand euro),2417565,2168283,2199885
BE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",115295,123157,143392
BE,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),139067,155636,168182
BE,Total (TOTAL) (thousand euro),1903860,1722234,1767889
BG,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",28869,31181,29708
BG,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),8138,7049,5412
BG,Total (TOTAL) (thousand euro),219117,239316,205081
CY,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",1344,1766,3128
CY,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),3703,2752,2539
CY,Total (TOTAL) (thousand euro),67447,55594,46205
CZ,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",874985,784350,886363
CZ,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),86209,99651,96270
CZ,Total (TOTAL) (thousand euro),2385159,2268439,2303985
DE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",1411830,1415708,1671257
DE,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),907981,851416,640499
DE,Total (TOTAL) (thousand euro),9644818,9507800,9637278
DK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (thousand euro)",192331,187279,108269
DK,Musical instruments; parts and accessories thereof (MUSI) (thousand euro),47360,67315,55581
DK,Total (TOTAL) (thousand euro),764966,775826,573035
