country,row,2023,2022,2021
AT,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",30.14,29.98,33.04
AT,Musical instruments; parts and accessories thereof (MUSI) (% of total),4.65,4.15,6.25
AT,Total (TOTAL) (% of total),100,100,100
BE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",6.06,7.15,8.11
BE,Musical instruments; parts and accessories thereof (MUSI) (% of total),7.3,9.04,9.51
BE,Total (TOTAL) (% of total),100,100,100
BG,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",13.18,13.03,14.49
BG,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.71,2.95,2.64
BG,Total (TOTAL) (% of total),100,100,100
CY,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",1.99,3.18,6.77
CY,Musical instruments; parts and accessories thereof (MUSI) (% of total),5.49,4.95,5.5
CY,Total (TOTAL) (% of total),100,100,100
CZ,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",36.68,34.58,38.47
CZ,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.61,4.39,4.18
CZ,Total (TOTAL) (% of total),100,100,100
DE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",14.64,14.89,17.34
DE,Musical instruments; parts and accessories thereof (MUSI) (% of total),9.41,8.95,6.65
DE,Total (TOTAL) (% of total),100,100,100
DK,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",25.14,24.14,18.89
DK,Musical instruments; parts and accessories thereof (MUSI) (% of total),6.19,8.68,9.7
DK,Total (TOTAL) (% of total),100,100,100
EE,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",13.68,9.52,14.31
EE,Musical instruments; parts and accessories thereof (MUSI) (% of total),2.71,5.02,6.34
EE,Total (TOTAL) (% of total),100,100,100
EL,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",13.52,10.97,18.82
EL,Musical instruments; parts and accessories thereof (MUSI) (% of total),2.99,2.97,4.33
EL,Total (TOTAL) (% of total),100,100,100
ES,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",8.3,7.02,7.97
ES,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.7,4.63,5.56
ES,Total (TOTAL) (% of total),100,100,100
FI,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",21.16,18.75,17.08
FI,Musical instruments; parts and accessories thereof (MUSI) (% of total),7.34,13.68,16.87
FI,Total (TOTAL) (% of total),100,100,100
FR,"Music in manuscript, gramophone records, recorded magnetic tapes and optical media (CDs); audio-visual and interactive media (RECMED_FILMVG_XVC) (% of total)",9.65,10.21,11.06
FR,Musical instruments; parts and accessories thereof (MUSI) (% of total),3.59,5.61,6.51
FR,Total (TOTAL) (% of total),100,100,100
